traditional,simplified,pinyin,jyutping,definition
奅,奅,pao4,paau3,"empty and big/boasting, exaggerating/archaic form of cannon"
姩,姩,nian4,nin6,beautiful girl
姩,姩,nian4,nin1,(Cant.) breast/milk
姩,姩,nian4,nin4,used in female names
媌,媌,miao2,maau4,fine/glorious/happy/prostitute
媌,媌,miao2,maau4,"nice looking, soft and beautiful, in ancient Chinese it was known as a prostitute"
孭,孭,mie1,me1,to carry on the back or shoulders / back (Cantonese)/to take responsible for/to be in charge of/to take the blame for/to carry the can for a mistake
孭,孭,mie1,me1,to take on responsibility (Cantonese)
岋,岋,e4,ngap6,shaky
岋,岋,e4,ngap6,verb; swing or shake
強記,强记,qiang2 ji4,koeng4 gei3,"Keung Kee, name of a restaurant"
強記,强记,qiang2 ji4,koeng5 gei3,to memorize by rote
彩色電視,彩色电视,cai3 se4 dian4 shi4,coi2 sik1 din6 si6,"noun; chroma television, Color TV"
彩色電視,彩色电视,cai3 se4 dian4 shi4,coi2 sik1 din6 si6,colour television
恃熟賣熟,特熟卖熟,shi4 shu2 mai4 shu2,ci5 suk6 maai6 suk6,to take advantage of one's relationship / connection with someone [colloquial]
恃熟賣熟,恃熟卖熟,shi4 shu2 mai4 shu2,ci5 suk6 maai6 suk6,to take advantage of one as they are friends or have a good relationship
惡死,恶死,e4 si3,ok3 sei2,"very scary, fierce; ferocious"
惡死,恶死,e4 si3,ok3 sei2,(adjective) vicious; unfriendly; malicious; mean; unkind; rude; hard to get along with
戇居,戆居,zhuang4 ju1,ngong6 geoi1,"stupid, dumb; ridiculous; absurd"
戇居,戆居,zhuang4 ju1,ngong6 geoi1,(adjective) silly; stupid; asinine; ridiculous; daft
抄字典,抄字典,chao1 zi4dian3,caau3 zi6 din2,to search / flip through a dictionary [colloquial]
抄字典,抄字典,chao1 zi4dian3,caau1 zi6 din2,to copy from a dictionary
抰,抰,yang1,joeng2,to unwrap and display; to uncover; to shake off
抰,抰,yang1,joeng2,to rattle/to shake
捵,捵,chen1,nin2,(Cant.) to hold between the fingers and thumb
捵,捵,chen1,can2,stretched/to deliberately make things difficult
捵,捵,chen1,din2,to roll/to roll about/to toss and turn
採擷,采撷,cai3 xie2,coi2 git3,(verb) to pick;to gather; to select
採擷,采撷,cai3 xie2,coi2 kit3,verb; pick; gather; take selections
掹,掹,meng5,maang1,(Cant.) to pluck/to pull/to pull out/to hold
掹,掹,meng5,mang3,to flee/to run away
揈,揈,hong1,fang4,to beat someone with a fist or a stick
揈,揈,hong1,gwang1,to drive away
揈,揈,hong1,fing6,to wave about/to sway/to dance crazily/to behave in a wild manner/to spend money lavishly
揈,揈,"",fing6,to swing; to splash
揈,揈,"",fang4,to hit; to pound
揈,揈,"",gwang1,chasing away
揈,揈,"",feng6,to fling
摵,摵,she4,saak3,bare branches with fallen leaves
摵,摵,she4,cik1,"(Cant.) to pull, lift up/to carry"
撉,蹾,dun1,dan3,"to put something down suddenly, hitting the ground with a lot of force"
